district,street,house_count,calibrated_score,calibrated_score_life_circle,life_circle_score,life_circle_5min_score,life_circle_10min_score,life_circle_15min_score
杨浦,江浦路街道,490,0.10441743709151075,0.17668818418688056,0.4957882483519624,0.5923047817118906,0.45215920052920594,0.4024424619279363
杨浦,长白新村街道,278,0.09927781679804347,0.1561617292008973,0.43960090662413676,0.5251710122778964,0.39520400386022597,0.3648444014475963
松江,中山街道,872,0.101141613476191,0.12283974638184803,0.3253039622436955,0.3688484734804638,0.31203882906508895,0.2742039307149154
松江,九亭镇,848,0.09565552542054948,0.12542273211510707,0.34405462941632753,0.4421918267165374,0.2902995593223672,0.2622922118675361
松江,九里亭街道,818,0.08809624055876696,0.12018098919807053,0.33925934190705215,0.41884448373990785,0.29575731186366483,0.2728259570352252
松江,佘山镇,1301,0.10109117561630733,0.07902851643343826,0.1608490846481056,0.1546048019892677,0.1552660636767755,0.17865616626210837
松江,叶榭镇,51,0.16789086146763327,0.1682000050433407,0.36073815984579516,0.40156918443894934,0.3685654585120534,0.2844503023639869
松江,小昆山镇,171,0.12472832655677642,0.11147922466195483,0.24275833639878472,0.27558777344889557,0.2152607600289956,0.2287278440363121
松江,岳阳街道,635,0.10559096374660457,0.15011020571797934,0.40972526641080415,0.5291762748335282,0.3420602674403133,0.3133346514931329
松江,广富林街道,681,0.08643272398426764,0.10333481845374136,0.2813777708630178,0.36109905558964506,0.23905384166973923,0.2130772161710041
松江,新桥镇,1505,0.0900287090080811,0.11096461120426729,0.3028802475582961,0.3697742170811415,0.2721615212137805,0.2388561132040653
松江,新浜镇,40,0.24802580334698457,0.1767781041645169,0.2593807673480336,0.17234424334564186,0.3229814066940206,0.30959831066747856
松江,方松街道,1637,0.10402088777313998,0.11305648243801117,0.28503661323924445,0.25426135142964,0.3198366873961801,0.2855569283149016
松江,永丰街道,453,0.1049747080235339,0.14209245275077953,0.38426196952263425,0.5116314663445162,0.30601119504613256,0.29002185887472554
松江,泖港镇,25,0.21938063360238896,0.19303753993722744,0.35465163423778384,0.4078572235770989,0.3568231208963383,0.2664826099729036
松江,泗泾镇,2017,0.08873698590128898,0.1079479199936868,0.29472460625986896,0.3722699930202631,0.2486162408771739,0.23520369897901158
松江,洞泾镇,800,0.08258941070369331,0.08050806957562832,0.20202887179010356,0.20350331422929582,0.19659190184924996,0.20728152180459097
松江,石湖荡镇,7,0.14249980878603188,0.10724568786368935,0.2504835405386533,0.3180267330614959,0.18799059018809222,0.2299045629928907
松江,车墩镇,468,0.10204176147883598,0.09929370572608096,0.238641038594375,0.33272310173429853,0.1707134327395049,0.1832083857673155
浦东,万祥镇,76,0.12858809045185685,0.10747122316134718,0.22118994341760265,0.1925758232374792,0.2611069569034064,0.211088716825675
浦东,三林镇,2767,0.10343344786699156,0.14715635097920113,0.40202687158526257,0.4908096493452826,0.35206924588896765,0.3299151031440435
浦东,上钢新村街道,581,0.09444803580687097,0.17651378423355327,0.5111385573246142,0.6597305020987033,0.43090978469842867,0.38571172736273124
浦东,书院镇,95,0.17653263381584425,0.1707646717257003,0.3552440082304245,0.4869126053678943,0.29345613464542386,0.23107727582947354
浦东,北蔡镇,1125,0.09832265016950613,0.15070322883709816,0.4228758197409788,0.5260867309297503,0.36365189594666614,0.34065185515098223
浦东,南汇新城镇,1015,0.11440184926488692,0.12489612074453017,0.3087073624209781,0.40117059372779973,0.258583123307441,0.2309401270890157
浦东,南码头路街道,703,0.11185123662995841,0.1442746892353968,0.37957783827955505,0.4217189843966944,0.3661030048105957,0.33101677134867513
浦东,合庆镇,249,0.1252333699652348,0.16153461679273357,0.4121571151485357,0.5759197071155142,0.317914374786886,0.2820768045076797
浦东,周家渡街道,1413,0.10989821803259042,0.16610256120486266,0.4525938604805985,0.5539798019588901,0.3935538551301981,0.3730323616058924
浦东,周浦镇,2178,0.0977874307317616,0.12383372475461309,0.33434819846044406,0.40312424712851347,0.29343967356004774,0.28157845545208793
浦东,唐镇,951,0.07740032995727532,0.10280682281312736,0.2959870932438429,0.34671365614909005,0.2742538138463635,0.24525118375191876
浦东,塘桥街道,476,0.10745282714780291,0.1839437010135554,0.5119450785706592,0.612720908009183,0.45942868174025636,0.4242267070315849
浦东,大团镇,97,0.1561445955546172,0.14158278606231162,0.2938951362671848,0.4010269922538005,0.2290238516426867,0.21330396516289696
浦东,宣桥镇,420,0.09963177898753156,0.09869934923301667,0.24073624116333087,0.2969186337890668,0.20174040905269117,0.2054385779170489
浦东,川沙新镇,1225,0.13971574268294548,0.15263515684537182,0.3580504341924618,0.42459459374020253,0.31541189408388254,0.31127373506808775
浦东,康桥镇,1889,0.08806235810832365,0.11913981136678532,0.3350219510985077,0.41527081534064175,0.3009013348593192,0.2543926310459571
浦东,张江镇,1793,0.09390219012818728,0.12527520066269104,0.3455855940328707,0.4313027197557347,0.307385179444013,0.2619187733006891
浦东,惠南镇,1678,0.12261979017654775,0.118070788003163,0.2698917666094999,0.32175951364940364,0.23700022858317193,0.23295152458251292
